survey,citation
fsdeva2004,Centre for Finnish Business and Policy Studies (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 2004 [dataset]. Version 2.0 (2018-07-18). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD2078
fsdeva2006,Finnish Business and Policy Forum (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 2006 [dataset]. Version 1.1 (2008-01-22). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD2292
fsdeva2009,Finnish Business and Policy Forum (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 2009 [dataset]. Version 2.0 (2018-07-18). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD2430
fsdeva2011,Finnish Business and Policy Forum (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 2011 [dataset]. Version 2.0 (2018-07-20). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD2628
fsdeva2014,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes 2014 [dataset]. Version 4.0 (2018-07-19). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD2933
fsdeva2015,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes 2015 [dataset]. Version 2.0 (2018-07-18). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD3001
fsdeva2016,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes 2016 [dataset]. Version 2.0 (2017-05-24). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD3093
fsdeva2017,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes 2017 [dataset]. Version 2.0 (2018-01-12). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD3157
fsdeva2018,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes Autumn 2018 [dataset]. Version 2.0 (2019-03-06). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD3305
fsdeva2019win,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes Winter 2019 [dataset]. Version 1.0 (2020-04-23). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD3330
fsdeva2020fall,Finnish Business and Policy Forum (EVA): EVA Survey on Finnish Values and Attitudes Autumn 2020 [dataset]. Version 1.0 (2021-01-28). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD3494
ges1983,o
ges1990,o
gles1994,"Falter, Ju_rgen W.; Gabriel, Oscar W.; Rattinger, Hans; Schmitt, Karl (2015): Political Attitudes, Political Participation and Voting Behavior in Reunified Germany 1994 GESIS Data Archive, Cologne. ZA3065 Data file Version 3.0.0, doi:10.4232/1.11973 "
gles1998,"Falter, Ju_rgen W.; Gabriel, Oscar W.; Rattinger, Hans (2015): Political Attitudes, Political Participation and Voting Behavior in Reunified Germany 1998 GESIS Data Archive, Cologne. ZA3066 Data file Version 4.0.0, doi:10.4232/1.11968 "
gles2002,"Falter, Ju_rgen W.; Gabriel, Oscar W.; Rattinger, Hans (2015): Political Attitudes, Political Participation and Voting Behavior in Reunified Germany 2002. GESIS Data Archive, Cologne. ZA3861 Data file Version 3.0.0, doi:10.4232/1.11967 "
gles2009,o
gles2013,"Rattinger, Hans; Roßteutscher, Sigrid; Schmitt-Beck, Rüdiger; Weßels, Bernhard; Wolf, Christof; Plischke, Thomas; Wiegand, Elena (2016): Short- term Campaign Panel 2013 (GLES). GESIS Data Archive, Cologne. ZA5704 Datafile Version 3.2.0, doi: 10.4232/1.12561. t"
gles2017,o
icenes1983,o
icenes1987,o
icenes1991,o
icenes1995,o
icenes1999,o
icenes2003,o
icenes2007,o
icenes2009,o
icenes2013,o
issp1990,o
issp1996,o
issp2004,"ISSP Research Group (2012): International Social Survey Programme 2004: Citizenship I (ISSP 2004). GESIS Data Archive, Cologne. ZA3950 Data file Version 1.3.0, doi: 10.4232/1.11372 "
issp2006,o
issp2007,o
issp2014,"ISSP Research Group (2016): International Social Survey Programme: Citizenship II   ISSP 2014. GESIS Data Archive, Cologne. ZA6670 Data file Version 2.0.0, doi: 10.4232/1.12590"
issp2016,"ISSP Research Group (2018): International Social Survey Programme: Role of Government V ISSP 2016. GESIS Data Archive, Cologne. ZA6900 Data file Version 2.0.0, doi: 10.4232/1.13052"
itanes1985,o
itanes1990,o
itanes1996,o
itanes2001,o
itanes2001_2006_04,o
itanes2001_2006_06,o
itanes2008,o
itanes2011_2013,o
itanes2013capi,o
itanes2018,o
kobar1994,"Shin, Doh Chull, 2010, Korea Barometer Survey 1994 [dataset]"
kobar1996,"Shin, Doh Chull, 2010, Korea Barometer Survey 1996 [dataset]"
kobar1998,"Shin, Doh Chull, 2010, Korea Barometer Survey 1998 [dataset]"
kobar1999,"Shin, Doh Chull, 2010, Korea Barometer Survey 1999 [dataset]"
kobar2001,"Shin, Doh Chull, 2010, Korea Barometer Survey 2001 [dataset]"
kobar2004,"Shin, Doh Chull, 2010, Korea Barometer Survey 2004 [dataset]"
kobar2010,"Shin, Doh Chull, 2013, Korea Barometer Survey 2010 [dataset]"
lb1995,"Corporación Latinobarómetro. Latinobarómetro 1995. June 27, 2014"
lb1996,"Corporación Latinobarómetro. Latinobarómetro 1996. June 27, 2014"
lb1997,"Corporación Latinobarómetro. Latinobarómetro 1997. June 27, 2014"
lb1998,"Corporación Latinobarómetro. Latinobarómetro 1998. June 27, 2014"
lb2000,"Corporación Latinobarómetro. Latinobarómetro 2000. June 27, 2014"
lb2001,"Corporación Latinobarómetro. Latinobarómetro 2001. June 27, 2014"
lb2003,"Corporación Latinobarómetro. Latinobarómetro 2003. June 27, 2014"
lb2004,"Corporación Latinobarómetro. Latinobarómetro 2004. June 27, 2014"
lb2005,"Corporación Latinobarómetro. Latinobarómetro 2005. June 27, 2014"
lb2007,"Corporación Latinobarómetro. Latinobarómetro 2007. June 27, 2014"
lb2009,"Corporación Latinobarómetro. Latinobarómetro 2009. June 27, 2014"
lb2010,"Corporación Latinobarómetro. Latinobarómetro 2010. June 27, 2014"
lb2013,"Corporación Latinobarómetro. Latinobarómetro 2013. February 27, 2017"
lb2020,"Corporación Latinobarómetro. Latinobarómetro 2020. September 30, 2021"
neb_combo,"Rose, R., New Europe Barometer I-XV Trend Dataset, 1991-2007 [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], July 2010. SN: 5241"
npes_combo,"Aarts, Kees, Bojan Todosijevic, and Harry van der Kaap. Dutch Parliamentary Election Study Cumulative Dataset, 1971-2006. ICPSR28221-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2010-09-13. http://doi.org/10.3886/ICPSR28221.v1 "
nores_combo1,Statistics Norway et al. (2022) Norwegian Election Survey time series 1977-1997. [Data set] Sikt. https://doi.org/10.18712/NSD-NSD1760-1-V3
nores_combo2,"Statistics Norway & Institute for Social Research. (2022) Norwegian Election Survey time series, 2001-2009. [Data set] Sikt. https://doi.org/10.18712/NSD-NSD1760-2-V7"
nores2013,Institute for Social Research & Statistics Norway. (2022) Norwegian Election Survey 2013. [Data set] Sikt. https://doi.org/10.18712/NSD-NSD2215-V3
nsss1984,"Kelley, Jonathan; Cushing, Robert; Headey, Bruce, 2019, ""National Social Science Survey, 1984"", doi:10.26193/RDLL0Y, ADA Dataverse, V2"
nsss1987,"Kelley, Jonathan; Bean, Clive, 2019, ""National Social Science Survey Panel, 1987"", doi:10.26193/J41IBV, ADA Dataverse, V2"
nsss1989,"Kelley, Jonathan; Bean, Clive; Evans, Mariah, 2017, ""National Social Science Survey, 1989-90"", doi:10.4225/87/R7OO0J, ADA Dataverse, V1, UNF:6:e0Z+g6zwTVDt5mDATtbN0g=="
nsss1993,"Kelley, Jonathan; Bean, Clive; Evans, Mariah D. R.; Zagorski, Krzysztof, 2019, ""National Social Science Survey, 1993"", doi:10.26193/OHK1J7, ADA Dataverse, V2"
nsss1994,"Kelley, Jonathan; Bean, Clive; Evans, Mariah D. R.; Zagorski, Krzysztof, 2019, ""National Social Science Survey, 1994"", doi:10.26193/DDWXI7, ADA Dataverse, V2"
nsss1995,"Kelley, Jonathan; Bean, Clive; Evans, Mariah D. R., 2019, ""National Social Science Survey, 1995/96"", doi:10.26193/R70QJY, ADA Dataverse, V2"
nzes1993,"Vowles, Jack; Aimer, Peter; Catt, Helena; Miller, Raymond; Lamare, Jim, 2019, ""1993 New Zealand Election Study"", doi:10.26193/9ODFXU, ADA Dataverse, V6"
nzes1996,"Vowles, Jack; Banducci, Susan; Karp, Jeffrey; Aimer, Peter; Catt, Helena; Miller, Raymond; Denmark, D, 2019, ""1996 New Zealand Election Study"", doi:10.26193/O0LRZZ, ADA Dataverse, V6"
nzes2005,"Vowles, Jack; Banducci, Susan; Karp, Jeffrey; Miller, Raymond; Sullivan, Ann, 2022, ""2005 New Zealand Election Study"", doi:10.26193/WJ8DGC, ADA Dataverse, V3"
nzes2008,"Vowles, Jack; Banducci, Susan; Karp, Jeffrey; Miller, Raymond; Sullivan, Ann; Curtin, Jennifer, 2022, ""2008 New Zealand Election Study"", doi:10.26193/6CVEYM, ADA Dataverse, V3"
nzes2011,"Vowles, Jack; Cotterell, Gerard; Miller, Raymond; Curtin, Jennifer, 2022, ""2011 New Zealand Election Study"", doi:10.26193/YZDMF3, ADA Dataverse, V3"
nzes2014,"Vowles, Jack; Coffé, Hilde; Curtin, Jennifer; Cotterell, Gerard, 2022, ""2014 New Zealand Election Study"", doi:10.26193/MF9DNL, ADA Dataverse, V3"
nzes2017,"Vowles, Jack; McMillan, Kate; Barker, Fiona; Curtin, Jennifer; Hayward, Janine; Greaves, Lara; Crothers, Charles, 2022, ""2017 New Zealand Election Study"", doi:10.26193/28JJFB, ADA Dataverse, V3"
nzes2020,"Vowles, Jack; Barker, Fiona; Krewel, Mona; Hayward, Janine; Curtin, Jennifer; Greaves, Lara; Oldfield, Luke, 2022, ""2020 New Zealand Election Study"", doi:10.26193/BPAMYJ, ADA Dataverse, V3"
pgss,"Institute for Social Studies, University of Warsaw, 2019, Polish General Social Survey, 1991-2010 [dataset]"
politbarometer_combo,"Forschungsgruppe Wahlen, Mannheim (2017): Politbarometer 1977-2016 (Gesamtkumulation). GESIS Datenarchiv, Köln. ZA5100 Datenfile Version '1.0.0' doi:10.42232/1.5100"
ptvs2008,"CIES-IUL. ""Portuguese Deputies in Comparative Perspective: Elections, Leadership and Political Representation"" (2007-2010) (FCT: PTDC/CPO/64469/2006)"
ptvs2012,"CIES-IUL. ""Elections, Leadership and Accountability: Political Representation in Portugal, in Longitudinal and Comparative Perspective"" (2012-2015) (FCT: PTDC/CPJ-CPO/119307/2010)"
ptvs2016,"CIES-IUL and IPRI-NOVA. ""Crisis, Political Representation and Democratic Renewal: The Portuguese Case in the Southern European Context"" (FCT: PTDC/IVC-CPO/3098/2014)"
ress2014,European Social Survey European Research Infrastructure (ESS ERIC). (2018). ESS7 - Russia [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research.
sasianb2,x
snes1988,"Holmberg, S., Gilljam, M., & Statistics Sweden. (1991). Swedish election study 1988 (1.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002512"
snes1991,"Holmberg, S., Gilljam, M., & Statistics Sweden. (1995). Swedish election study 1991 (1.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002513"
snes1994,"Holmberg, S., Gilljam, M., & Statistics Sweden. (1997). Swedish election study 1994 (1.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002514"
snes1998,"Holmberg, S. & Statistics Sweden. (2002). Swedish election study 1998 (1.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002515"
snes2002,"Holmberg, S., Ekengren Oscarsson, H., & Statistics Sweden. (2006). Swedish election study 2002 (1.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002643"
snes2006,"Holmberg, S., Ekengren Oscarsson, H., & Statistics Sweden. (2012). Swedish election study 2006 (2.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002526"
snes2010,"Holmberg, S., & Ekengren Oscarsson, H. (2017). Swedish National Election Study 2010 - Swedish election study 2010 (1.0) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/002905"
snes2014,"Ekengren Oscarsson, H., Hedberg, P., Oleskog Tryggvason, P., & Berg, L. (2021). Swedish National Election Study 2014 (Version 1) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/qhzg-x011"
snes2018,"Andersson, D., Hedberg, P., Svensson, R., & Oscarsson, H. (2021). The Swedish National Election Study 2018 - CSES Edition (Version 1) [Data set]. University of Gothenburg. Available at: https://doi.org/10.5878/p9eq-2883"
uspew_valcombo,"Pew Research Center for the People & the Press. Pew Research Center Poll: 1987 to 2003 Values Merge File, 1987 [Dataset]. Roper #31095812, Version 3. Princeton Survey Research Associates International [producer]. Cornell University, Ithaca, NY: Roper Center for Public Opinion Research [distributor]. doi:10.25940/ROPER-31095812"
uspew2004_typo,"Pew Research Center for the People & the Press. Pew Research Center Poll:  Typology--Politics/News/Economy/Stem Cell Research/Trade/Taxes/Federal Budget/Iraq/Patriot Act/Internet Use, 2004 [Dataset]. Roper #31095844, Version 2. Princeton Survey Research Associates International [producer]. Cornell University, Ithaca, NY: Roper Center for Public Opinion Research [distributor]. doi:10.25940/ROPER-31095844"
uspew2007_rls,"Pew Forum on Religion & Public Life. 2007. U.S. Religious Landscape Survey, 2007 [Dataset]. https://www.pewresearch.org/religion/dataset/u-s-religious-landscape-survey/"
uspew2012_10late,"Pew Research Center for the People & the Press. Pew Research Center Poll: Late October 2012 Political Survey, 2012 [Dataset]. Roper #31096114, Version 2. Princeton Survey Research Associates International [producer]. Cornell University, Ithaca, NY: Roper Center for Public Opinion Research [distributor]. doi:10.25940/ROPER-31096114"
uspew2014_9rel,"Pew Research Center for the People & the Press. Pew Research Center Poll: September Religion-Politics Survey, 2014 [Dataset]"
uspew2015_gov,"Pew Research Center for the People & the Press. Pew Research Center Poll: 2015 Governance Survey, 2015 [Dataset]"
uspew2016_3pol,"Pew Research Center for the People & the Press. Pew Research Center Poll: March Political Survey, 2016 [Dataset]"
uspew2017_6typo,"Pew Research Center for the People & the Press. Pew Research Center Poll: Political Typology 2017 Survey, 2017 [Dataset]"
uspew2018_02amtr,"Pew Research Center. Pew Research Center: American Trends Panel Wave 31, 2018 [Dataset]. Roper #31114961, Version 2. GfK [producer]. Cornell University, Ithaca, NY: Roper Center for Public Opinion Research [distributor]. doi:10.25940/ROPER-31114961"
uspew2019_05amtr,"Pew Research Center for the People & the Press. Pew Research Center: American Trends Panel Wave 53, 2019 [Dataset]. Roper #31116843, Version 2. Ipsos [producer]. Cornell University, Ithaca, NY: Roper Center for Public Opinion Research [distributor]. doi:10.25940/ROPER-31116843"
vpcpce_czechpublic,"Heywood, P., Miller, W. L., White, S. (2000). Values and Political Change in Post-Communist Europe, 1993-1994. [data collection]. UK Data Service. SN: 4129, DOI: http://doi.org/10.5255/UKDA-SN-4129-1"
vpcpce_hungarianpublic,"Heywood, P., Miller, W. L., White, S. (2000). Values and Political Change in Post-Communist Europe, 1993-1994. [data collection]. UK Data Service. SN: 4129, DOI: http://doi.org/10.5255/UKDA-SN-4129-1"
vpcpce_russianpublic,"Heywood, P., Miller, W. L., White, S. (2000). Values and Political Change in Post-Communist Europe, 1993-1994. [data collection]. UK Data Service. SN: 4129, DOI: http://doi.org/10.5255/UKDA-SN-4129-1"
vpcpce_slovakianpublic,"Heywood, P., Miller, W. L., White, S. (2000). Values and Political Change in Post-Communist Europe, 1993-1994. [data collection]. UK Data Service. SN: 4129, DOI: http://doi.org/10.5255/UKDA-SN-4129-1"
vpcpce_ukrainianpublic,"Heywood, P., Miller, W. L., White, S. (2000). Values and Political Change in Post-Communist Europe, 1993-1994. [data collection]. UK Data Service. SN: 4129, DOI: http://doi.org/10.5255/UKDA-SN-4129-1"
wvs_combo,"Inglehart, R., C. Haerpfer, A. Moreno, C. Welzel, K. Kizilova, J. Diez-Medrano, M. Lagos, P. Norris, E. Ponarin & B. Puranen (eds.). 2022. World Values Survey: All Rounds - Country-Pooled Datafile. Madrid, Spain & Vienna, Austria: JD Systems Institute & WVSA Secretariat. Dataset Version 3.0.0. doi:10.14281/18241.17"
wvs7,"Haerpfer, C., Inglehart, R., Moreno, A., Welzel, C., Kizilova, K., Diez-Medrano J., M. Lagos, P. Norris, E. Ponarin & B. Puranen (eds.). 2022. World Values Survey: Round Seven - Country-Pooled Datafile Version 5.0. Madrid, Spain & Vienna, Austria: JD Systems Institute & WVSA Secretariat. doi:10.14281/18241.20"
